Date,Type,Press Conference,Scheduled FOMC,Unscheduled FOMC,SEP,Dotplot,Monetary Policy Report,Minutes Released
7/11/2012,Minutes,0,0,0,0,0,0,1
7/17/2012,Monetary Policy Report,0,0,0,0,0,1,0
8/1/2012,FOMC Statement,0,1,0,0,0,0,0
8/22/2012,Minutes,0,0,0,0,0,0,1
9/13/2012,FOMC Statement,1,1,0,1,1,0,0
10/4/2012,Minutes,0,0,0,0,0,0,1
10/24/2012,FOMC Statement,0,1,0,0,0,0,0
11/14/2012,Minutes,0,0,0,0,0,0,1
12/12/2012,FOMC Statement,1,1,0,1,1,0,0
1/3/2013,Minutes,0,0,0,0,0,0,1
1/30/2013,FOMC Statement,0,1,0,0,0,0,0
2/20/2013,Minutes,0,0,0,0,0,0,1
2/26/2013,Monetary Policy Report,0,0,0,0,0,1,0
3/20/2013,FOMC Statement,1,1,0,1,1,0,0
4/10/2013,Minutes,0,0,0,0,0,0,1
5/1/2013,FOMC Statement,0,1,0,0,0,0,0
5/22/2013,Minutes,0,0,0,0,0,0,1
6/19/2013,FOMC Statement,1,1,0,1,1,0,0
7/10/2013,Minutes,0,0,0,0,0,0,1
7/17/2013,Monetary Policy Report,0,0,0,0,0,1,0
7/31/2013,FOMC Statement,0,1,0,0,0,0,0
8/21/2013,Minutes,0,0,0,0,0,0,1
9/18/2013,FOMC Statement,1,1,0,1,1,0,0
10/9/2013,Minutes,0,0,0,0,0,0,1
10/16/2013,FOMC Statement,0,0,1,0,0,0,0
10/30/2013,FOMC Statement,0,1,0,0,0,0,0
11/20/2013,Minutes,0,0,0,0,0,0,1
12/18/2013,FOMC Statement,1,1,0,1,1,0,0
1/8/2014,Minutes,0,0,0,0,0,0,1
1/29/2014,FOMC Statement,0,1,0,0,0,0,0
2/11/2014,Monetary Policy Report,0,0,0,0,0,1,0
2/19/2014,Minutes,0,0,0,0,0,0,1
3/4/2014,FOMC Statement,0,0,1,0,0,0,0
3/19/2014,FOMC Statement,1,1,0,1,1,0,0
4/9/2014,Minutes,0,0,0,0,0,0,1
4/30/2014,FOMC Statement,0,1,0,0,0,0,0
5/21/2014,Minutes,0,0,0,0,0,0,1
6/18/2014,FOMC Statement,1,1,0,1,1,0,0
7/9/2014,Minutes,0,0,0,0,0,0,1
7/15/2014,Monetary Policy Report,0,0,0,0,0,1,0
7/30/2014,FOMC Statement,0,1,0,0,0,0,0
8/20/2014,Minutes,0,0,0,0,0,0,1
9/17/2014,FOMC Statement,1,1,0,1,1,0,0
10/8/2014,Minutes,0,0,0,0,0,0,1
10/29/2014,FOMC Statement,0,1,0,0,0,0,0
11/19/2014,Minutes,0,0,0,0,0,0,1
12/17/2014,FOMC Statement,1,1,0,1,1,0,0
1/7/2015,Minutes,0,0,0,0,0,0,1
1/28/2015,FOMC Statement,0,1,0,0,0,0,0
2/18/2015,Minutes,0,0,0,0,0,0,1
2/24/2015,Monetary Policy Report,0,0,0,0,0,1,0
3/18/2015,FOMC Statement,1,1,0,1,1,0,0
4/8/2015,Minutes,0,0,0,0,0,0,1
4/29/2015,FOMC Statement,0,1,0,0,0,0,0
5/20/2015,Minutes,0,0,0,0,0,0,1
6/17/2015,FOMC Statement,1,1,0,1,1,0,0
7/8/2015,Minutes,0,0,0,0,0,0,1
7/15/2015,Monetary Policy Report,0,0,0,0,0,1,0
7/29/2015,FOMC Statement,0,1,0,0,0,0,0
8/19/2015,Minutes,0,0,0,0,0,0,1
9/17/2015,FOMC Statement,1,1,0,1,1,0,0
10/8/2015,Minutes,0,0,0,0,0,0,1
10/28/2015,FOMC Statement,0,1,0,0,0,0,0
11/18/2015,Minutes,0,0,0,0,0,0,1
12/16/2015,FOMC Statement,1,1,0,1,1,0,0
1/6/2016,Minutes,0,0,0,0,0,0,1
1/27/2016,FOMC Statement,0,1,0,0,0,0,0
2/10/2016,Monetary Policy Report,0,0,0,0,0,1,0
2/17/2016,Minutes,0,0,0,0,0,0,1
3/16/2016,FOMC Statement,1,1,0,1,1,0,0
4/6/2016,Minutes,0,0,0,0,0,0,1
4/27/2016,FOMC Statement,0,1,0,0,0,0,0
5/18/2016,Minutes,0,0,0,0,0,0,1
6/15/2016,FOMC Statement,1,1,0,1,1,0,0
